Date,Description,Amount,Category,Account Name,Transaction Type
02/03/2023,Clothing Purchase,-1225,Transportation,Savings Account,Withdrawal
03/03/2023,Electricity Bill,2014,Transportation,Credit Card,Deposit
04/03/2023,Clothing Purchase,-1966,Transportation,Checking Account,Withdrawal
05/03/2023,Grocery Shopping,1152,Rent,Credit Card,Deposit
06/03/2023,Monthly Rent,-45,Entertainment,Credit Card,Withdrawal
07/03/2023,Electricity Bill,-415,Investment,Credit Card,Withdrawal
08/03/2023,Monthly Rent,1943,Investment,Checking Account,Deposit
09/03/2023,Electricity Bill,1073,Food,Credit Card,Deposit
10/03/2023,Electricity Bill,-979,Shopping,Checking Account,Withdrawal
11/03/2023,Grocery Shopping,1461,Shopping,Credit Card,Deposit
12/03/2023,Doctor Visit,613,Healthcare,Checking Account,Deposit
13/03/2023,Grocery Shopping,3225,Shopping,Credit Card,Deposit
14/03/2023,Electricity Bill,1843,Rent,Savings Account,Deposit
15/03/2023,Salary Payment,-500,Utilities,Credit Card,Withdrawal
16/03/2023,Monthly Rent,2798,Salary,Credit Card,Deposit
17/03/2023,Grocery Shopping,3675,Healthcare,Checking Account,Deposit
18/03/2023,Doctor Visit,-1839,Salary,Checking Account,Withdrawal
19/03/2023,Movies,2297,Investment,Credit Card,Deposit
20/03/2023,Clothing Purchase,-19,Salary,Savings Account,Withdrawal
21/03/2023,Electricity Bill,-1005,Salary,Savings Account,Withdrawal
22/03/2023,Movies,2911,Healthcare,Checking Account,Deposit
23/03/2023,Bus Fare,1342,Food,Savings Account,Deposit
24/03/2023,Stock Investment,2551,Transportation,Credit Card,Deposit
25/03/2023,Doctor Visit,1798,Shopping,Checking Account,Deposit
26/03/2023,Stock Investment,-725,Shopping,Credit Card,Withdrawal
27/03/2023,Doctor Visit,-984,Rent,Checking Account,Withdrawal
28/03/2023,Salary Payment,-1663,Healthcare,Checking Account,Withdrawal
29/03/2023,Clothing Purchase,-1122,Rent,Checking Account,Withdrawal
30/03/2023,Movies,-924,Utilities,Checking Account,Withdrawal
31/03/2023,Monthly Rent,2887,Utilities,Savings Account,Deposit
01/04/2023,Doctor Visit,1993,Rent,Credit Card,Deposit
02/04/2023,Monthly Rent,2859,Healthcare,Credit Card,Deposit
03/04/2023,Clothing Purchase,-1621,Rent,Credit Card,Withdrawal
04/04/2023,Electricity Bill,-1508,Shopping,Checking Account,Withdrawal
05/04/2023,Bus Fare,3276,Entertainment,Savings Account,Deposit
06/04/2023,Movies,62,Salary,Credit Card,Deposit
07/04/2023,Clothing Purchase,1884,Entertainment,Savings Account,Deposit
08/04/2023,Clothing Purchase,-1936,Healthcare,Checking Account,Withdrawal
09/04/2023,Salary Payment,568,Entertainment,Credit Card,Deposit
10/04/2023,Stock Investment,3463,Utilities,Savings Account,Deposit
11/04/2023,Bus Fare,3248,Investment,Checking Account,Deposit
12/04/2023,Movies,27,Salary,Savings Account,Deposit
13/04/2023,Electricity Bill,695,Transportation,Credit Card,Deposit
14/04/2023,Electricity Bill,-505,Healthcare,Credit Card,Withdrawal
15/04/2023,Grocery Shopping,3258,Salary,Checking Account,Deposit
16/04/2023,Clothing Purchase,3618,Entertainment,Checking Account,Deposit
17/04/2023,Doctor Visit,-1609,Utilities,Checking Account,Withdrawal
18/04/2023,Salary Payment,3794,Food,Savings Account,Deposit
19/04/2023,Bus Fare,2514,Transportation,Savings Account,Deposit
20/04/2023,Electricity Bill,2474,Salary,Savings Account,Deposit
21/04/2023,Movies,3892,Utilities,Checking Account,Deposit
22/04/2023,Grocery Shopping,1561,Utilities,Credit Card,Deposit
23/04/2023,Movies,278,Entertainment,Credit Card,Deposit
24/04/2023,Salary Payment,1099,Shopping,Savings Account,Deposit
25/04/2023,Doctor Visit,-1800,Entertainment,Savings Account,Withdrawal
26/04/2023,Grocery Shopping,3959,Shopping,Credit Card,Deposit
27/04/2023,Grocery Shopping,2875,Shopping,Credit Card,Deposit
28/04/2023,Stock Investment,1104,Transportation,Savings Account,Deposit
29/04/2023,Bus Fare,2598,Entertainment,Savings Account,Deposit
30/04/2023,Grocery Shopping,454,Food,Credit Card,Deposit
01/05/2023,Stock Investment,1645,Rent,Checking Account,Deposit
02/05/2023,Stock Investment,3847,Rent,Savings Account,Deposit
03/05/2023,Salary Payment,-1196,Entertainment,Credit Card,Withdrawal
04/05/2023,Monthly Rent,731,Entertainment,Credit Card,Deposit
05/05/2023,Movies,3991,Transportation,Credit Card,Deposit
06/05/2023,Doctor Visit,773,Entertainment,Credit Card,Deposit
07/05/2023,Movies,-430,Shopping,Checking Account,Withdrawal
08/05/2023,Grocery Shopping,3056,Utilities,Credit Card,Deposit
09/05/2023,Doctor Visit,3581,Utilities,Savings Account,Deposit
10/05/2023,Electricity Bill,690,Shopping,Checking Account,Deposit
11/05/2023,Monthly Rent,1840,Healthcare,Credit Card,Deposit
12/05/2023,Electricity Bill,-972,Shopping,Checking Account,Withdrawal
13/05/2023,Electricity Bill,-1498,Food,Savings Account,Withdrawal
14/05/2023,Bus Fare,2493,Investment,Credit Card,Deposit
15/05/2023,Movies,-1130,Salary,Savings Account,Withdrawal
16/05/2023,Salary Payment,2488,Shopping,Credit Card,Deposit
17/05/2023,Electricity Bill,-1794,Entertainment,Credit Card,Withdrawal
18/05/2023,Grocery Shopping,3134,Entertainment,Credit Card,Deposit
19/05/2023,Monthly Rent,3977,Transportation,Credit Card,Deposit
20/05/2023,Clothing Purchase,-516,Shopping,Credit Card,Withdrawal
21/05/2023,Electricity Bill,-1137,Transportation,Checking Account,Withdrawal
22/05/2023,Monthly Rent,790,Shopping,Credit Card,Deposit
23/05/2023,Doctor Visit,-1437,Salary,Credit Card,Withdrawal
24/05/2023,Movies,3116,Investment,Checking Account,Deposit
25/05/2023,Stock Investment,2191,Utilities,Checking Account,Deposit
26/05/2023,Bus Fare,-243,Rent,Checking Account,Withdrawal
27/05/2023,Monthly Rent,-322,Shopping,Checking Account,Withdrawal
28/05/2023,Grocery Shopping,1242,Investment,Checking Account,Deposit
29/05/2023,Grocery Shopping,2636,Utilities,Checking Account,Deposit
30/05/2023,Monthly Rent,-941,Healthcare,Credit Card,Withdrawal
31/05/2023,Grocery Shopping,3279,Salary,Credit Card,Deposit
01/06/2023,Movies,-278,Transportation,Savings Account,Withdrawal
02/06/2023,Grocery Shopping,1314,Transportation,Credit Card,Deposit
03/06/2023,Stock Investment,1157,Entertainment,Credit Card,Deposit
04/06/2023,Grocery Shopping,3915,Utilities,Checking Account,Deposit
05/06/2023,Stock Investment,625,Healthcare,Checking Account,Deposit
06/06/2023,Electricity Bill,729,Investment,Credit Card,Deposit
07/06/2023,Salary Payment,-403,Salary,Savings Account,Withdrawal
08/06/2023,Movies,1060,Utilities,Checking Account,Deposit
09/06/2023,Salary Payment,693,Healthcare,Credit Card,Deposit
10/06/2023,Electricity Bill,2891,Rent,Credit Card,Deposit
11/06/2023,Movies,3147,Shopping,Savings Account,Deposit
12/06/2023,Monthly Rent,3739,Transportation,Savings Account,Deposit
13/06/2023,Monthly Rent,1627,Investment,Checking Account,Deposit
14/06/2023,Stock Investment,-637,Transportation,Savings Account,Withdrawal
15/06/2023,Electricity Bill,-19,Investment,Credit Card,Withdrawal
16/06/2023,Stock Investment,3450,Entertainment,Credit Card,Deposit
17/06/2023,Bus Fare,-337,Investment,Savings Account,Withdrawal
18/06/2023,Grocery Shopping,-471,Transportation,Savings Account,Withdrawal
19/06/2023,Clothing Purchase,38,Investment,Savings Account,Deposit
20/06/2023,Bus Fare,3592,Rent,Savings Account,Deposit
21/06/2023,Grocery Shopping,1302,Entertainment,Checking Account,Deposit
22/06/2023,Movies,237,Investment,Savings Account,Deposit
23/06/2023,Stock Investment,3504,Utilities,Checking Account,Deposit
24/06/2023,Movies,3496,Food,Credit Card,Deposit
25/06/2023,Movies,-694,Healthcare,Savings Account,Withdrawal
26/06/2023,Grocery Shopping,2029,Food,Checking Account,Deposit
27/06/2023,Electricity Bill,675,Food,Savings Account,Deposit
28/06/2023,Grocery Shopping,3068,Salary,Credit Card,Deposit
29/06/2023,Doctor Visit,3864,Rent,Credit Card,Deposit
30/06/2023,Monthly Rent,-718,Utilities,Credit Card,Withdrawal
01/07/2023,Monthly Rent,-1291,Shopping,Savings Account,Withdrawal
02/07/2023,Bus Fare,3575,Investment,Savings Account,Deposit
03/07/2023,Monthly Rent,3530,Healthcare,Checking Account,Deposit
04/07/2023,Grocery Shopping,2744,Entertainment,Credit Card,Deposit
05/07/2023,Stock Investment,2413,Utilities,Savings Account,Deposit
06/07/2023,Grocery Shopping,1748,Transportation,Credit Card,Deposit
07/07/2023,Grocery Shopping,3353,Shopping,Credit Card,Deposit
08/07/2023,Clothing Purchase,2779,Salary,Checking Account,Deposit
09/07/2023,Stock Investment,-1337,Salary,Checking Account,Withdrawal
10/07/2023,Doctor Visit,-2,Utilities,Checking Account,Withdrawal
11/07/2023,Monthly Rent,1445,Food,Checking Account,Deposit
12/07/2023,Stock Investment,1743,Transportation,Credit Card,Deposit
13/07/2023,Monthly Rent,3727,Salary,Checking Account,Deposit
14/07/2023,Bus Fare,-505,Healthcare,Checking Account,Withdrawal
15/07/2023,Stock Investment,1304,Salary,Checking Account,Deposit
16/07/2023,Monthly Rent,1763,Entertainment,Checking Account,Deposit
17/07/2023,Doctor Visit,3232,Investment,Credit Card,Deposit
18/07/2023,Salary Payment,-147,Salary,Checking Account,Withdrawal
19/07/2023,Movies,3616,Entertainment,Credit Card,Deposit
20/07/2023,Movies,2659,Utilities,Savings Account,Deposit
21/07/2023,Doctor Visit,-709,Utilities,Credit Card,Withdrawal
22/07/2023,Clothing Purchase,1581,Shopping,Credit Card,Deposit
23/07/2023,Salary Payment,1457,Salary,Checking Account,Deposit
24/07/2023,Bus Fare,-364,Healthcare,Savings Account,Withdrawal
25/07/2023,Doctor Visit,1696,Salary,Savings Account,Deposit
26/07/2023,Movies,999,Healthcare,Savings Account,Deposit
27/07/2023,Movies,1152,Rent,Savings Account,Deposit
28/07/2023,Movies,-1302,Shopping,Credit Card,Withdrawal
29/07/2023,Electricity Bill,160,Rent,Savings Account,Deposit
30/07/2023,Doctor Visit,2097,Salary,Credit Card,Deposit
31/07/2023,Grocery Shopping,2737,Shopping,Credit Card,Deposit
01/08/2023,Bus Fare,3685,Rent,Credit Card,Deposit
02/08/2023,Movies,-1146,Food,Savings Account,Withdrawal
03/08/2023,Monthly Rent,3855,Salary,Checking Account,Deposit
04/08/2023,Doctor Visit,1474,Rent,Checking Account,Deposit
05/08/2023,Electricity Bill,3757,Food,Savings Account,Deposit
06/08/2023,Doctor Visit,3249,Food,Checking Account,Deposit
07/08/2023,Bus Fare,3172,Utilities,Checking Account,Deposit
08/08/2023,Electricity Bill,-293,Salary,Credit Card,Withdrawal
09/08/2023,Bus Fare,777,Food,Credit Card,Deposit
10/08/2023,Doctor Visit,3791,Utilities,Savings Account,Deposit
11/08/2023,Grocery Shopping,-267,Rent,Savings Account,Withdrawal
12/08/2023,Bus Fare,3535,Entertainment,Checking Account,Deposit
13/08/2023,Electricity Bill,2931,Salary,Credit Card,Deposit
14/08/2023,Electricity Bill,1510,Shopping,Savings Account,Deposit
15/08/2023,Bus Fare,-1798,Healthcare,Savings Account,Withdrawal
16/08/2023,Doctor Visit,1255,Healthcare,Savings Account,Deposit
17/08/2023,Clothing Purchase,2218,Rent,Savings Account,Deposit
18/08/2023,Doctor Visit,2496,Rent,Savings Account,Deposit
19/08/2023,Bus Fare,-1234,Food,Savings Account,Withdrawal
20/08/2023,Salary Payment,2389,Salary,Checking Account,Deposit
21/08/2023,Bus Fare,327,Healthcare,Credit Card,Deposit
22/08/2023,Grocery Shopping,931,Healthcare,Credit Card,Deposit
23/08/2023,Bus Fare,-1803,Food,Savings Account,Withdrawal
24/08/2023,Bus Fare,-70,Healthcare,Credit Card,Withdrawal
25/08/2023,Grocery Shopping,1582,Shopping,Credit Card,Deposit
26/08/2023,Bus Fare,-1392,Salary,Credit Card,Withdrawal
27/08/2023,Movies,1272,Investment,Savings Account,Deposit
28/08/2023,Salary Payment,-853,Healthcare,Savings Account,Withdrawal
29/08/2023,Monthly Rent,2282,Rent,Credit Card,Deposit
30/08/2023,Salary Payment,1397,Shopping,Credit Card,Deposit
31/08/2023,Bus Fare,511,Healthcare,Savings Account,Deposit
01/09/2023,Movies,-206,Shopping,Checking Account,Withdrawal
02/09/2023,Doctor Visit,-1341,Utilities,Credit Card,Withdrawal
03/09/2023,Bus Fare,811,Investment,Checking Account,Deposit
04/09/2023,Movies,-631,Transportation,Credit Card,Withdrawal
05/09/2023,Grocery Shopping,-14,Rent,Checking Account,Withdrawal
06/09/2023,Movies,3630,Rent,Checking Account,Deposit
07/09/2023,Grocery Shopping,-1854,Salary,Checking Account,Withdrawal
08/09/2023,Clothing Purchase,1219,Shopping,Savings Account,Deposit
09/09/2023,Monthly Rent,911,Food,Checking Account,Deposit
10/09/2023,Stock Investment,-266,Rent,Checking Account,Withdrawal
11/09/2023,Movies,-157,Shopping,Checking Account,Withdrawal
12/09/2023,Electricity Bill,-1512,Shopping,Credit Card,Withdrawal
13/09/2023,Bus Fare,976,Entertainment,Checking Account,Deposit
14/09/2023,Salary Payment,-41,Entertainment,Credit Card,Withdrawal
15/09/2023,Stock Investment,3759,Transportation,Checking Account,Deposit
16/09/2023,Salary Payment,385,Utilities,Checking Account,Deposit
17/09/2023,Clothing Purchase,919,Transportation,Savings Account,Deposit
18/09/2023,Stock Investment,2736,Healthcare,Credit Card,Deposit
19/09/2023,Stock Investment,-198,Food,Checking Account,Withdrawal
20/09/2023,Salary Payment,3534,Healthcare,Credit Card,Deposit
21/09/2023,Grocery Shopping,2061,Healthcare,Credit Card,Deposit
22/09/2023,Salary Payment,1369,Salary,Savings Account,Deposit
23/09/2023,Grocery Shopping,3730,Healthcare,Savings Account,Deposit
24/09/2023,Clothing Purchase,-1738,Transportation,Savings Account,Withdrawal
25/09/2023,Bus Fare,3883,Rent,Savings Account,Deposit
26/09/2023,Doctor Visit,-1377,Rent,Savings Account,Withdrawal
27/09/2023,Grocery Shopping,-984,Entertainment,Savings Account,Withdrawal
28/09/2023,Clothing Purchase,1643,Food,Savings Account,Deposit
29/09/2023,Electricity Bill,2976,Food,Savings Account,Deposit
30/09/2023,Clothing Purchase,49,Salary,Checking Account,Deposit
01/10/2023,Salary Payment,3423,Transportation,Credit Card,Deposit
02/10/2023,Salary Payment,1723,Entertainment,Savings Account,Deposit
03/10/2023,Doctor Visit,2548,Food,Savings Account,Deposit
04/10/2023,Clothing Purchase,1108,Rent,Credit Card,Deposit
05/10/2023,Monthly Rent,3279,Healthcare,Checking Account,Deposit
06/10/2023,Bus Fare,2090,Healthcare,Credit Card,Deposit
07/10/2023,Salary Payment,56,Entertainment,Credit Card,Deposit
08/10/2023,Doctor Visit,1170,Transportation,Savings Account,Deposit
09/10/2023,Bus Fare,-318,Transportation,Credit Card,Withdrawal
10/10/2023,Clothing Purchase,255,Utilities,Credit Card,Deposit
11/10/2023,Clothing Purchase,-846,Investment,Savings Account,Withdrawal
12/10/2023,Stock Investment,2499,Food,Savings Account,Deposit
13/10/2023,Doctor Visit,1191,Transportation,Savings Account,Deposit
14/10/2023,Salary Payment,-304,Rent,Savings Account,Withdrawal
15/10/2023,Monthly Rent,1991,Entertainment,Credit Card,Deposit
16/10/2023,Clothing Purchase,2723,Utilities,Credit Card,Deposit
17/10/2023,Monthly Rent,2682,Shopping,Checking Account,Deposit
18/10/2023,Clothing Purchase,-352,Salary,Checking Account,Withdrawal
19/10/2023,Salary Payment,3539,Shopping,Credit Card,Deposit
20/10/2023,Bus Fare,-555,Healthcare,Checking Account,Withdrawal
21/10/2023,Movies,2199,Salary,Credit Card,Deposit
22/10/2023,Bus Fare,1923,Food,Checking Account,Deposit
23/10/2023,Clothing Purchase,-1747,Rent,Savings Account,Withdrawal
24/10/2023,Movies,1183,Salary,Checking Account,Deposit
25/10/2023,Movies,557,Investment,Savings Account,Deposit
26/10/2023,Monthly Rent,3592,Shopping,Savings Account,Deposit
27/10/2023,Doctor Visit,-1902,Food,Savings Account,Withdrawal
28/10/2023,Monthly Rent,200,Investment,Savings Account,Deposit
29/10/2023,Monthly Rent,3980,Healthcare,Checking Account,Deposit
30/10/2023,Bus Fare,961,Investment,Credit Card,Deposit
31/10/2023,Bus Fare,2973,Utilities,Savings Account,Deposit
01/11/2023,Electricity Bill,2433,Utilities,Checking Account,Deposit
02/11/2023,Clothing Purchase,1777,Entertainment,Savings Account,Deposit
03/11/2023,Electricity Bill,869,Food,Checking Account,Deposit
04/11/2023,Salary Payment,1234,Healthcare,Checking Account,Deposit
05/11/2023,Clothing Purchase,1791,Transportation,Checking Account,Deposit
06/11/2023,Clothing Purchase,-1044,Utilities,Credit Card,Withdrawal
07/11/2023,Stock Investment,3800,Food,Checking Account,Deposit
08/11/2023,Stock Investment,2067,Transportation,Checking Account,Deposit
09/11/2023,Grocery Shopping,-1840,Entertainment,Credit Card,Withdrawal
10/11/2023,Grocery Shopping,3699,Investment,Credit Card,Deposit
11/11/2023,Monthly Rent,2493,Utilities,Checking Account,Deposit
12/11/2023,Salary Payment,-700,Food,Credit Card,Withdrawal
13/11/2023,Movies,2911,Salary,Savings Account,Deposit
14/11/2023,Movies,1987,Transportation,Savings Account,Deposit
15/11/2023,Stock Investment,-473,Investment,Credit Card,Withdrawal
16/11/2023,Stock Investment,3511,Utilities,Credit Card,Deposit
17/11/2023,Stock Investment,3254,Healthcare,Checking Account,Deposit
18/11/2023,Doctor Visit,-782,Transportation,Credit Card,Withdrawal
19/11/2023,Grocery Shopping,2496,Utilities,Checking Account,Deposit
20/11/2023,Bus Fare,2735,Transportation,Savings Account,Deposit
21/11/2023,Movies,1104,Investment,Credit Card,Deposit
22/11/2023,Clothing Purchase,735,Utilities,Checking Account,Deposit
23/11/2023,Grocery Shopping,2555,Shopping,Checking Account,Deposit
24/11/2023,Electricity Bill,-1046,Food,Savings Account,Withdrawal
25/11/2023,Bus Fare,2565,Investment,Credit Card,Deposit
26/11/2023,Grocery Shopping,1446,Transportation,Savings Account,Deposit
27/11/2023,Salary Payment,-955,Healthcare,Checking Account,Withdrawal
28/11/2023,Clothing Purchase,-307,Salary,Checking Account,Withdrawal
29/11/2023,Grocery Shopping,1436,Transportation,Credit Card,Deposit
30/11/2023,Doctor Visit,-1438,Food,Checking Account,Withdrawal
01/12/2023,Stock Investment,485,Utilities,Credit Card,Deposit
02/12/2023,Stock Investment,3895,Salary,Savings Account,Deposit
03/12/2023,Clothing Purchase,1354,Rent,Credit Card,Deposit
04/12/2023,Stock Investment,-1775,Transportation,Credit Card,Withdrawal
05/12/2023,Grocery Shopping,2893,Entertainment,Checking Account,Deposit
06/12/2023,Electricity Bill,-1041,Rent,Checking Account,Withdrawal
07/12/2023,Movies,3600,Transportation,Credit Card,Deposit
08/12/2023,Movies,2548,Shopping,Checking Account,Deposit
09/12/2023,Bus Fare,1067,Entertainment,Checking Account,Deposit
10/12/2023,Monthly Rent,-1185,Salary,Checking Account,Withdrawal
11/12/2023,Salary Payment,2754,Healthcare,Credit Card,Deposit
12/12/2023,Clothing Purchase,2642,Shopping,Checking Account,Deposit
13/12/2023,Bus Fare,3311,Rent,Credit Card,Deposit
14/12/2023,Monthly Rent,1120,Utilities,Checking Account,Deposit
15/12/2023,Doctor Visit,-1984,Food,Savings Account,Withdrawal
16/12/2023,Doctor Visit,-757,Healthcare,Checking Account,Withdrawal
17/12/2023,Salary Payment,205,Shopping,Checking Account,Deposit
18/12/2023,Stock Investment,524,Utilities,Credit Card,Deposit
19/12/2023,Grocery Shopping,-931,Utilities,Credit Card,Withdrawal
20/12/2023,Bus Fare,1444,Transportation,Checking Account,Deposit
21/12/2023,Bus Fare,565,Shopping,Savings Account,Deposit
22/12/2023,Clothing Purchase,3864,Salary,Checking Account,Deposit
23/12/2023,Clothing Purchase,-940,Entertainment,Checking Account,Withdrawal
24/12/2023,Doctor Visit,327,Entertainment,Savings Account,Deposit
25/12/2023,Doctor Visit,1420,Rent,Credit Card,Deposit
26/12/2023,Electricity Bill,-1699,Rent,Checking Account,Withdrawal
27/12/2023,Electricity Bill,2276,Entertainment,Credit Card,Deposit
28/12/2023,Stock Investment,-1394,Salary,Credit Card,Withdrawal
29/12/2023,Electricity Bill,1170,Food,Savings Account,Deposit
30/12/2023,Grocery Shopping,-1301,Investment,Savings Account,Withdrawal
31/12/2023,Grocery Shopping,3088,Food,Credit Card,Deposit
01/01/2024,Bus Fare,-861,Transportation,Checking Account,Withdrawal
02/01/2024,Movies,-1810,Investment,Credit Card,Withdrawal
03/01/2024,Grocery Shopping,300,Investment,Checking Account,Deposit
04/01/2024,Monthly Rent,-1020,Shopping,Checking Account,Withdrawal
05/01/2024,Doctor Visit,975,Salary,Savings Account,Deposit
06/01/2024,Clothing Purchase,-816,Salary,Checking Account,Withdrawal
07/01/2024,Electricity Bill,1327,Investment,Checking Account,Deposit
08/01/2024,Bus Fare,1394,Shopping,Credit Card,Deposit
09/01/2024,Salary Payment,-1873,Investment,Savings Account,Withdrawal
10/01/2024,Clothing Purchase,65,Healthcare,Checking Account,Deposit
11/01/2024,Monthly Rent,-184,Rent,Checking Account,Withdrawal
12/01/2024,Electricity Bill,3854,Rent,Savings Account,Deposit
13/01/2024,Monthly Rent,-1431,Food,Credit Card,Withdrawal
14/01/2024,Doctor Visit,3442,Transportation,Savings Account,Deposit
15/01/2024,Doctor Visit,-105,Rent,Savings Account,Withdrawal
16/01/2024,Stock Investment,733,Utilities,Checking Account,Deposit
17/01/2024,Bus Fare,1863,Food,Checking Account,Deposit
18/01/2024,Clothing Purchase,2721,Rent,Credit Card,Deposit
19/01/2024,Clothing Purchase,2014,Transportation,Checking Account,Deposit
20/01/2024,Salary Payment,901,Salary,Checking Account,Deposit
21/01/2024,Bus Fare,-314,Salary,Savings Account,Withdrawal
22/01/2024,Monthly Rent,1009,Investment,Checking Account,Deposit
23/01/2024,Salary Payment,-1846,Healthcare,Credit Card,Withdrawal
24/01/2024,Movies,537,Salary,Savings Account,Deposit
25/01/2024,Clothing Purchase,-591,Shopping,Credit Card,Withdrawal
26/01/2024,Monthly Rent,2057,Rent,Savings Account,Deposit
27/01/2024,Grocery Shopping,-1216,Shopping,Checking Account,Withdrawal
28/01/2024,Stock Investment,1175,Transportation,Savings Account,Deposit
29/01/2024,Bus Fare,2341,Salary,Savings Account,Deposit
30/01/2024,Doctor Visit,3596,Healthcare,Checking Account,Deposit
31/01/2024,Grocery Shopping,3801,Transportation,Checking Account,Deposit
01/02/2024,Stock Investment,806,Utilities,Credit Card,Deposit
02/02/2024,Stock Investment,-1463,Utilities,Credit Card,Withdrawal
03/02/2024,Movies,3986,Shopping,Checking Account,Deposit
04/02/2024,Movies,-159,Investment,Checking Account,Withdrawal
05/02/2024,Electricity Bill,3016,Food,Checking Account,Deposit
06/02/2024,Electricity Bill,455,Investment,Savings Account,Deposit
07/02/2024,Salary Payment,-1476,Investment,Savings Account,Withdrawal
08/02/2024,Stock Investment,3625,Healthcare,Savings Account,Deposit
09/02/2024,Grocery Shopping,950,Salary,Checking Account,Deposit
10/02/2024,Bus Fare,2131,Healthcare,Credit Card,Deposit
11/02/2024,Stock Investment,2780,Transportation,Checking Account,Deposit
12/02/2024,Movies,2115,Utilities,Savings Account,Deposit
13/02/2024,Monthly Rent,368,Healthcare,Savings Account,Deposit
14/02/2024,Doctor Visit,1847,Transportation,Checking Account,Deposit
15/02/2024,Electricity Bill,2495,Healthcare,Checking Account,Deposit
16/02/2024,Clothing Purchase,701,Investment,Savings Account,Deposit
17/02/2024,Monthly Rent,-1029,Rent,Savings Account,Withdrawal
